Policy Scope,Policy Duration,Enforcement Intensity,Best Advocacy Method
City,Permanent,Surveillance-Based,Social Media Campaign
Province,Temporary,Symbolic Only,Social Media Campaign
Continental,Trial,Community-Enforced,Academic Paper
Cross-Border,Medium-Term,Symbolic Only,Social Media Campaign
County,Permanent,Minimal,Podcast
City,Trial,Strict Enforcement,Petition
Cross-Border,Temporary,Not Enforced,Citizen Report
National,Long-Term,Surveillance-Based,Public Comment
International,Short-Term,Light Enforcement,Join Advocacy Group
Neighborhood,Medium-Term,Light Enforcement,Protest
Continental,Medium-Term,Light Enforcement,Public Poll
County,Temporary,Symbolic Only,Podcast
Region,Long-Term,Strict Enforcement,Town Hall
National,Trial,Light Enforcement,Documentary
International,Temporary,Light Enforcement,Documentary
Continental,Trial,Strict Enforcement,Newsletter
Global,Medium-Term,Minimal,Podcast
City,Medium-Term,Community-Enforced,Public Art
City,Short-Term,Minimal,Meme Campaign
City,Trial,Symbolic Only,Public Comment
City,Permanent,Moderate Enforcement,Direct Email to Representative
Region,Temporary,Punitive,Viral Video
Global,Trial,Light Enforcement,Citizen Report
Cross-Border,Medium-Term,Community-Enforced,Direct Email to Representative
City,Temporary,Minimal,Petition
County,Temporary,Punitive,Influencer Collaboration
City,Medium-Term,Symbolic Only,Meme Campaign
Region,Temporary,Not Enforced,Documentary
Continental,Permanent,Minimal,Meme Campaign
Region,Long-Term,Moderate Enforcement,Documentary
National,Permanent,Community-Enforced,Newsletter
City,Trial,Punitive,Town Hall
International,Trial,Community-Enforced,Meme Campaign
City,Medium-Term,Strict Enforcement,Public Poll
Province,Permanent,Moderate Enforcement,Viral Video
Neighborhood,Long-Term,Community-Enforced,Academic Paper
Province,Short-Term,Minimal,Social Media Campaign
Neighborhood,Medium-Term,Symbolic Only,Meme Campaign
Region,Medium-Term,Light Enforcement,Viral Video
City,Temporary,Light Enforcement,Petition
Province,Temporary,Punitive,Public Poll
County,Trial,Punitive,Public Art
County,Temporary,Community-Enforced,Podcast
Cross-Border,Permanent,Strict Enforcement,Protest
National,Permanent,Light Enforcement,Lawsuit
County,Permanent,Light Enforcement,Lawsuit
International,Medium-Term,Surveillance-Based,GoFundMe Awareness
Cross-Border,Medium-Term,Strict Enforcement,Citizen Report
National,Trial,Surveillance-Based,Lawsuit
Cross-Border,Long-Term,Not Enforced,Viral Video
Cross-Border,Long-Term,Moderate Enforcement,Protest
City,Temporary,Not Enforced,Petition
International,Temporary,Minimal,Meme Campaign
State,Temporary,Not Enforced,Newsletter
Neighborhood,Short-Term,Community-Enforced,Direct Email to Representative
International,Permanent,Community-Enforced,Citizen Report
Province,Long-Term,Strict Enforcement,Join Advocacy Group
Region,Permanent,Moderate Enforcement,Media Outreach
Cross-Border,Short-Term,Strict Enforcement,Lawsuit
Neighborhood,Short-Term,Moderate Enforcement,Podcast
City,Short-Term,Light Enforcement,Viral Video
Continental,Long-Term,Community-Enforced,Media Outreach
Cross-Border,Long-Term,Light Enforcement,Direct Email to Representative
Neighborhood,Long-Term,Minimal,Meme Campaign
County,Permanent,Surveillance-Based,Lawsuit
Province,Short-Term,Minimal,Op-ed
County,Long-Term,Minimal,Meme Campaign
International,Medium-Term,Moderate Enforcement,Direct Email to Representative
Cross-Border,Permanent,Minimal,Social Media Campaign
International,Short-Term,Punitive,Influencer Collaboration
Continental,Permanent,Light Enforcement,Viral Video
International,Permanent,Not Enforced,Viral Video
Neighborhood,Short-Term,Minimal,Op-ed
County,Short-Term,Not Enforced,Direct Email to Representative
Province,Long-Term,Light Enforcement,Lawsuit
Region,Temporary,Not Enforced,Join Advocacy Group
Continental,Permanent,Community-Enforced,Newsletter
Continental,Permanent,Not Enforced,Influencer Collaboration
Neighborhood,Permanent,Strict Enforcement,Influencer Collaboration
Province,Permanent,Not Enforced,Public Comment
Cross-Border,Trial,Symbolic Only,Social Media Campaign
Continental,Trial,Moderate Enforcement,Documentary
Neighborhood,Short-Term,Light Enforcement,Meme Campaign
State,Permanent,Minimal,Op-ed
Province,Medium-Term,Not Enforced,Academic Paper
Global,Temporary,Strict Enforcement,Town Hall
Continental,Long-Term,Strict Enforcement,Media Outreach
Global,Permanent,Light Enforcement,Lawsuit
Cross-Border,Short-Term,Symbolic Only,Podcast
Province,Long-Term,Minimal,Social Media Campaign
Continental,Trial,Minimal,Podcast
Province,Short-Term,Not Enforced,Influencer Collaboration
Region,Long-Term,Moderate Enforcement,Public Comment
Cross-Border,Permanent,Strict Enforcement,Social Media Campaign
City,Trial,Moderate Enforcement,Town Hall
Neighborhood,Medium-Term,Light Enforcement,Public Comment
Global,Trial,Symbolic Only,Op-ed
Neighborhood,Permanent,Punitive,Newsletter
Continental,Permanent,Light Enforcement,Protest
Global,Permanent,Punitive,Influencer Collaboration
Region,Medium-Term,Minimal,Social Media Campaign
Neighborhood,Short-Term,Surveillance-Based,Petition
Global,Temporary,Strict Enforcement,Meme Campaign
Region,Long-Term,Not Enforced,Documentary
County,Short-Term,Surveillance-Based,Op-ed
Region,Long-Term,Symbolic Only,Social Media Campaign
County,Permanent,Symbolic Only,Podcast
Province,Trial,Community-Enforced,Citizen Report
Cross-Border,Medium-Term,Moderate Enforcement,GoFundMe Awareness
Region,Medium-Term,Community-Enforced,Op-ed
City,Short-Term,Minimal,Social Media Campaign
Neighborhood,Medium-Term,Surveillance-Based,GoFundMe Awareness
Neighborhood,Permanent,Surveillance-Based,Direct Email to Representative
Neighborhood,Temporary,Surveillance-Based,Town Hall
Neighborhood,Short-Term,Moderate Enforcement,Social Media Campaign
State,Medium-Term,Punitive,Documentary
City,Short-Term,Moderate Enforcement,Viral Video
International,Long-Term,Not Enforced,Podcast
Neighborhood,Short-Term,Strict Enforcement,Public Comment
Neighborhood,Short-Term,Symbolic Only,Social Media Campaign
Region,Permanent,Surveillance-Based,Meme Campaign
Cross-Border,Long-Term,Minimal,Podcast
State,Temporary,Minimal,Meme Campaign
Province,Medium-Term,Punitive,Citizen Report
Neighborhood,Short-Term,Surveillance-Based,Influencer Collaboration
National,Trial,Surveillance-Based,GoFundMe Awareness
County,Medium-Term,Minimal,Meme Campaign
Continental,Short-Term,Punitive,Academic Paper
National,Permanent,Punitive,Lobby Group
International,Trial,Punitive,Lobby Group
Neighborhood,Long-Term,Minimal,Op-ed
Neighborhood,Short-Term,Moderate Enforcement,Media Outreach
County,Temporary,Community-Enforced,Town Hall
City,Permanent,Surveillance-Based,Lawsuit
Province,Permanent,Minimal,Podcast
International,Trial,Light Enforcement,Academic Paper
State,Long-Term,Minimal,Op-ed
Global,Trial,Symbolic Only,Podcast
Global,Medium-Term,Strict Enforcement,Petition
International,Medium-Term,Not Enforced,Public Art
Continental,Medium-Term,Not Enforced,Influencer Collaboration
Province,Temporary,Surveillance-Based,Newsletter
City,Medium-Term,Moderate Enforcement,Media Outreach
Region,Medium-Term,Moderate Enforcement,Influencer Collaboration
State,Trial,Minimal,Social Media Campaign
Province,Temporary,Symbolic Only,Social Media Campaign
Neighborhood,Permanent,Surveillance-Based,Podcast
City,Permanent,Community-Enforced,Citizen Report
Neighborhood,Permanent,Strict Enforcement,Newsletter
Global,Long-Term,Symbolic Only,Social Media Campaign
Province,Trial,Punitive,Academic Paper
City,Long-Term,Community-Enforced,Op-ed
Cross-Border,Medium-Term,Symbolic Only,Op-ed
National,Permanent,Community-Enforced,Protest
Global,Trial,Light Enforcement,Direct Email to Representative
Continental,Medium-Term,Not Enforced,Direct Email to Representative
Region,Trial,Not Enforced,Lawsuit
Global,Long-Term,Strict Enforcement,Podcast
County,Temporary,Symbolic Only,Social Media Campaign
Continental,Medium-Term,Moderate Enforcement,Protest
Region,Short-Term,Not Enforced,Town Hall
Continental,Temporary,Surveillance-Based,Lawsuit
State,Trial,Not Enforced,Petition
City,Trial,Not Enforced,Public Comment
International,Permanent,Minimal,Op-ed
State,Temporary,Community-Enforced,Citizen Report
County,Long-Term,Not Enforced,Meme Campaign
Region,Trial,Not Enforced,Lawsuit
County,Medium-Term,Not Enforced,Social Media Campaign
County,Temporary,Minimal,Meme Campaign
Region,Medium-Term,Punitive,Viral Video
County,Long-Term,Light Enforcement,Public Comment
Province,Trial,Surveillance-Based,Meme Campaign
Neighborhood,Permanent,Light Enforcement,Citizen Report
International,Medium-Term,Strict Enforcement,Influencer Collaboration
City,Long-Term,Strict Enforcement,Public Art
Continental,Short-Term,Punitive,Town Hall
Continental,Temporary,Symbolic Only,Podcast
Continental,Medium-Term,Moderate Enforcement,Citizen Report
Cross-Border,Trial,Not Enforced,Direct Email to Representative
Cross-Border,Short-Term,Light Enforcement,Protest
City,Short-Term,Strict Enforcement,Documentary
Global,Short-Term,Punitive,Protest
National,Medium-Term,Minimal,Op-ed
Global,Trial,Moderate Enforcement,Media Outreach
Province,Short-Term,Moderate Enforcement,Lawsuit
Global,Medium-Term,Moderate Enforcement,Academic Paper
County,Medium-Term,Community-Enforced,Meme Campaign
National,Long-Term,Symbolic Only,Social Media Campaign
National,Long-Term,Moderate Enforcement,Op-ed
Neighborhood,Trial,Minimal,Public Comment
Neighborhood,Temporary,Not Enforced,Petition
International,Temporary,Community-Enforced,Join Advocacy Group
Region,Trial,Strict Enforcement,Meme Campaign
National,Trial,Community-Enforced,Protest
Neighborhood,Temporary,Strict Enforcement,Town Hall
Continental,Trial,Not Enforced,Public Art
Continental,Short-Term,Not Enforced,Lawsuit
Global,Temporary,Symbolic Only,Podcast
County,Permanent,Minimal,Op-ed
International,Temporary,Moderate Enforcement,Public Poll
City,Permanent,Minimal,Social Media Campaign
International,Medium-Term,Not Enforced,Lawsuit
Region,Trial,Surveillance-Based,Podcast
Province,Temporary,Strict Enforcement,Citizen Report
Neighborhood,Trial,Symbolic Only,Town Hall
Cross-Border,Permanent,Community-Enforced,Op-ed
County,Permanent,Community-Enforced,Lawsuit
Neighborhood,Medium-Term,Symbolic Only,Meme Campaign
Neighborhood,Permanent,Punitive,Documentary
Continental,Short-Term,Symbolic Only,Social Media Campaign
County,Trial,Light Enforcement,Documentary
International,Trial,Strict Enforcement,Documentary
County,Long-Term,Symbolic Only,Podcast
County,Long-Term,Not Enforced,Podcast
National,Long-Term,Symbolic Only,Op-ed
Global,Short-Term,Minimal,Social Media Campaign
Province,Permanent,Strict Enforcement,Viral Video
International,Long-Term,Symbolic Only,Op-ed
Region,Permanent,Punitive,Newsletter
Region,Medium-Term,Surveillance-Based,Public Poll
State,Temporary,Community-Enforced,Town Hall
Continental,Long-Term,Moderate Enforcement,Op-ed
County,Long-Term,Symbolic Only,Social Media Campaign
Province,Long-Term,Symbolic Only,Podcast
County,Trial,Surveillance-Based,Town Hall
Region,Trial,Moderate Enforcement,Social Media Campaign
State,Trial,Strict Enforcement,Direct Email to Representative
International,Permanent,Surveillance-Based,Join Advocacy Group
Cross-Border,Permanent,Minimal,Op-ed
Neighborhood,Trial,Light Enforcement,Petition
Province,Medium-Term,Surveillance-Based,GoFundMe Awareness
National,Trial,Surveillance-Based,Citizen Report
City,Temporary,Surveillance-Based,Public Comment
State,Medium-Term,Punitive,Join Advocacy Group
National,Short-Term,Minimal,Podcast
Continental,Permanent,Strict Enforcement,Podcast
Neighborhood,Medium-Term,Community-Enforced,Public Art
Neighborhood,Trial,Punitive,Public Comment
City,Trial,Symbolic Only,Petition
Neighborhood,Medium-Term,Surveillance-Based,Citizen Report
City,Medium-Term,Community-Enforced,Op-ed
Region,Temporary,Not Enforced,Documentary
State,Temporary,Surveillance-Based,GoFundMe Awareness
National,Medium-Term,Community-Enforced,Petition
Continental,Medium-Term,Strict Enforcement,Public Poll
City,Trial,Not Enforced,Town Hall
International,Long-Term,Symbolic Only,Meme Campaign
City,Medium-Term,Not Enforced,Lawsuit
County,Long-Term,Minimal,Social Media Campaign
National,Short-Term,Surveillance-Based,Op-ed
Province,Trial,Moderate Enforcement,Petition
City,Trial,Punitive,Town Hall
County,Permanent,Punitive,Town Hall
County,Permanent,Minimal,Op-ed
Province,Medium-Term,Not Enforced,Influencer Collaboration
State,Trial,Community-Enforced,Public Poll
Neighborhood,Trial,Punitive,Town Hall
County,Permanent,Moderate Enforcement,Social Media Campaign
City,Medium-Term,Not Enforced,Citizen Report
State,Permanent,Surveillance-Based,Viral Video
International,Short-Term,Minimal,Podcast
Cross-Border,Medium-Term,Punitive,Op-ed
City,Long-Term,Strict Enforcement,Influencer Collaboration
Province,Trial,Community-Enforced,Public Art
Continental,Permanent,Surveillance-Based,Direct Email to Representative
Neighborhood,Permanent,Symbolic Only,Meme Campaign
Province,Temporary,Strict Enforcement,Op-ed
County,Long-Term,Community-Enforced,Public Poll
County,Trial,Strict Enforcement,Public Art
City,Short-Term,Not Enforced,Social Media Campaign
National,Short-Term,Strict Enforcement,Documentary
County,Medium-Term,Strict Enforcement,Direct Email to Representative
Cross-Border,Temporary,Light Enforcement,Social Media Campaign
State,Medium-Term,Symbolic Only,Meme Campaign
National,Short-Term,Not Enforced,Influencer Collaboration
Neighborhood,Temporary,Minimal,Public Comment
Region,Long-Term,Minimal,Podcast
City,Short-Term,Symbolic Only,Meme Campaign
City,Long-Term,Symbolic Only,Meme Campaign
City,Permanent,Not Enforced,Protest
Cross-Border,Trial,Symbolic Only,Meme Campaign
International,Permanent,Punitive,Influencer Collaboration
County,Long-Term,Symbolic Only,Meme Campaign
Region,Trial,Strict Enforcement,Petition
Global,Short-Term,Punitive,Town Hall
Region,Long-Term,Not Enforced,Influencer Collaboration
Global,Temporary,Symbolic Only,Meme Campaign
Continental,Permanent,Light Enforcement,Newsletter
City,Temporary,Punitive,Public Comment
Cross-Border,Temporary,Moderate Enforcement,Academic Paper
County,Trial,Strict Enforcement,Academic Paper
International,Short-Term,Punitive,Media Outreach
National,Medium-Term,Strict Enforcement,Influencer Collaboration
Continental,Temporary,Punitive,Public Poll
County,Trial,Moderate Enforcement,Public Comment
City,Long-Term,Surveillance-Based,Town Hall
City,Temporary,Light Enforcement,Town Hall
International,Medium-Term,Moderate Enforcement,Public Art
State,Permanent,Minimal,Op-ed
Neighborhood,Temporary,Strict Enforcement,Petition
County,Short-Term,Symbolic Only,Op-ed
Cross-Border,Long-Term,Moderate Enforcement,Social Media Campaign
County,Medium-Term,Symbolic Only,Social Media Campaign
Global,Short-Term,Minimal,Op-ed
Neighborhood,Temporary,Symbolic Only,Petition
County,Medium-Term,Punitive,Direct Email to Representative
Cross-Border,Permanent,Surveillance-Based,Public Art
National,Permanent,Surveillance-Based,Media Outreach
Province,Temporary,Surveillance-Based,Academic Paper
State,Trial,Not Enforced,Newsletter
State,Temporary,Community-Enforced,Public Poll
State,Permanent,Not Enforced,Documentary
City,Medium-Term,Strict Enforcement,Town Hall
Cross-Border,Trial,Surveillance-Based,Social Media Campaign
Region,Short-Term,Not Enforced,Citizen Report
Region,Temporary,Not Enforced,Media Outreach
Global,Trial,Strict Enforcement,Documentary
Neighborhood,Permanent,Symbolic Only,Social Media Campaign
Cross-Border,Trial,Moderate Enforcement,Citizen Report
National,Temporary,Community-Enforced,Protest
Continental,Long-Term,Minimal,Social Media Campaign
City,Medium-Term,Strict Enforcement,Town Hall
State,Long-Term,Light Enforcement,Lawsuit
Province,Temporary,Community-Enforced,Podcast
City,Long-Term,Punitive,Media Outreach
Global,Permanent,Community-Enforced,Influencer Collaboration
Cross-Border,Temporary,Strict Enforcement,Influencer Collaboration
Region,Medium-Term,Light Enforcement,Join Advocacy Group
National,Medium-Term,Symbolic Only,Meme Campaign
Neighborhood,Long-Term,Symbolic Only,Podcast
Neighborhood,Long-Term,Strict Enforcement,Public Art
National,Temporary,Punitive,Documentary
Neighborhood,Medium-Term,Strict Enforcement,Op-ed
Continental,Medium-Term,Punitive,Join Advocacy Group
National,Permanent,Punitive,Media Outreach
Cross-Border,Trial,Light Enforcement,Documentary
Region,Permanent,Strict Enforcement,Direct Email to Representative
City,Trial,Moderate Enforcement,Public Comment
County,Short-Term,Punitive,Media Outreach
Province,Permanent,Punitive,Meme Campaign
County,Trial,Strict Enforcement,Protest
Continental,Long-Term,Not Enforced,Influencer Collaboration
Cross-Border,Trial,Strict Enforcement,Meme Campaign
State,Short-Term,Punitive,Protest
Global,Long-Term,Not Enforced,Podcast
State,Long-Term,Strict Enforcement,Op-ed
National,Short-Term,Strict Enforcement,Influencer Collaboration
Neighborhood,Temporary,Not Enforced,Petition
Province,Short-Term,Community-Enforced,Town Hall
County,Short-Term,Symbolic Only,Op-ed
International,Permanent,Community-Enforced,Protest
City,Trial,Strict Enforcement,Public Comment
State,Short-Term,Not Enforced,Viral Video
Province,Permanent,Symbolic Only,Meme Campaign
State,Short-Term,Strict Enforcement,Public Comment
International,Permanent,Surveillance-Based,GoFundMe Awareness
City,Permanent,Community-Enforced,GoFundMe Awareness
Continental,Temporary,Symbolic Only,Social Media Campaign
Province,Short-Term,Punitive,Academic Paper
County,Temporary,Symbolic Only,Social Media Campaign
National,Long-Term,Surveillance-Based,Public Comment
Neighborhood,Trial,Community-Enforced,Petition
Continental,Permanent,Minimal,Podcast
State,Long-Term,Symbolic Only,Op-ed
International,Medium-Term,Moderate Enforcement,Join Advocacy Group
State,Temporary,Not Enforced,Citizen Report
Region,Short-Term,Light Enforcement,Protest
City,Medium-Term,Surveillance-Based,Citizen Report
National,Short-Term,Light Enforcement,Newsletter
Neighborhood,Long-Term,Symbolic Only,Social Media Campaign
Province,Temporary,Light Enforcement,Op-ed
Global,Temporary,Moderate Enforcement,Protest
County,Long-Term,Strict Enforcement,GoFundMe Awareness
Cross-Border,Long-Term,Moderate Enforcement,Meme Campaign
City,Medium-Term,Not Enforced,Public Comment
Neighborhood,Short-Term,Symbolic Only,Meme Campaign
Global,Short-Term,Moderate Enforcement,Petition
Neighborhood,Short-Term,Minimal,Op-ed
Global,Short-Term,Moderate Enforcement,Meme Campaign
State,Medium-Term,Symbolic Only,Meme Campaign
County,Trial,Moderate Enforcement,Newsletter
Cross-Border,Long-Term,Light Enforcement,Op-ed
Global,Temporary,Symbolic Only,Meme Campaign
Region,Medium-Term,Symbolic Only,Podcast
Province,Long-Term,Moderate Enforcement,Newsletter
Province,Trial,Light Enforcement,GoFundMe Awareness
Continental,Long-Term,Light Enforcement,Social Media Campaign
Region,Short-Term,Not Enforced,Podcast
Continental,Short-Term,Strict Enforcement,Public Comment
State,Permanent,Community-Enforced,Public Comment
International,Permanent,Punitive,Lobby Group
State,Trial,Strict Enforcement,Viral Video
Continental,Temporary,Punitive,GoFundMe Awareness
National,Temporary,Punitive,Documentary
Region,Short-Term,Strict Enforcement,Public Art
Region,Long-Term,Punitive,Academic Paper
Neighborhood,Permanent,Strict Enforcement,Media Outreach
County,Long-Term,Not Enforced,Academic Paper
Cross-Border,Trial,Not Enforced,Town Hall
Cross-Border,Short-Term,Strict Enforcement,Academic Paper
Cross-Border,Short-Term,Minimal,Podcast
National,Long-Term,Surveillance-Based,Media Outreach
International,Short-Term,Community-Enforced,Citizen Report
County,Trial,Strict Enforcement,Podcast
Region,Short-Term,Light Enforcement,Social Media Campaign
State,Short-Term,Symbolic Only,Meme Campaign
Continental,Long-Term,Community-Enforced,GoFundMe Awareness
Global,Temporary,Punitive,Public Art
Cross-Border,Permanent,Punitive,Podcast
Neighborhood,Medium-Term,Punitive,Meme Campaign
Global,Long-Term,Minimal,Podcast
Continental,Temporary,Community-Enforced,Influencer Collaboration
Global,Permanent,Surveillance-Based,Public Poll
International,Trial,Minimal,Meme Campaign
Continental,Medium-Term,Symbolic Only,Op-ed
County,Short-Term,Community-Enforced,Podcast
International,Trial,Community-Enforced,Op-ed
Continental,Trial,Minimal,Podcast
Region,Temporary,Surveillance-Based,Viral Video
Province,Permanent,Community-Enforced,Podcast
International,Medium-Term,Surveillance-Based,GoFundMe Awareness
Cross-Border,Short-Term,Minimal,Podcast
Continental,Temporary,Light Enforcement,Newsletter
Neighborhood,Medium-Term,Not Enforced,Public Art
City,Temporary,Punitive,Petition
Neighborhood,Long-Term,Not Enforced,Lawsuit
International,Long-Term,Strict Enforcement,Media Outreach
City,Permanent,Moderate Enforcement,Protest
County,Medium-Term,Not Enforced,Influencer Collaboration
State,Medium-Term,Symbolic Only,Social Media Campaign
Province,Permanent,Symbolic Only,Meme Campaign
Cross-Border,Temporary,Symbolic Only,Op-ed
Region,Short-Term,Not Enforced,Op-ed
National,Trial,Moderate Enforcement,Join Advocacy Group
Region,Trial,Punitive,Public Poll
County,Permanent,Punitive,GoFundMe Awareness
National,Medium-Term,Community-Enforced,Protest
State,Trial,Punitive,Op-ed
Cross-Border,Trial,Not Enforced,Social Media Campaign
Region,Temporary,Punitive,Protest
Province,Long-Term,Minimal,Op-ed
International,Medium-Term,Symbolic Only,Meme Campaign
State,Short-Term,Punitive,Public Poll
International,Medium-Term,Punitive,Documentary
National,Temporary,Punitive,Influencer Collaboration
Cross-Border,Temporary,Light Enforcement,Viral Video
City,Trial,Strict Enforcement,Petition
Neighborhood,Long-Term,Light Enforcement,GoFundMe Awareness
Global,Permanent,Strict Enforcement,Meme Campaign
Region,Long-Term,Symbolic Only,Meme Campaign
Continental,Trial,Punitive,Documentary
International,Medium-Term,Light Enforcement,Public Poll
State,Medium-Term,Symbolic Only,Op-ed
Neighborhood,Permanent,Surveillance-Based,Public Comment
City,Medium-Term,Minimal,Op-ed
Continental,Short-Term,Symbolic Only,Meme Campaign
Global,Temporary,Moderate Enforcement,Op-ed
Global,Short-Term,Moderate Enforcement,Public Poll
Continental,Long-Term,Surveillance-Based,Newsletter
City,Short-Term,Symbolic Only,Podcast
City,Permanent,Community-Enforced,Public Poll
Neighborhood,Short-Term,Minimal,Podcast
Region,Permanent,Moderate Enforcement,Media Outreach
Region,Temporary,Symbolic Only,Op-ed
Continental,Medium-Term,Strict Enforcement,Town Hall
County,Long-Term,Moderate Enforcement,Academic Paper
City,Short-Term,Minimal,Podcast
Cross-Border,Temporary,Symbolic Only,Podcast
International,Long-Term,Surveillance-Based,Social Media Campaign
Cross-Border,Long-Term,Minimal,Op-ed
International,Medium-Term,Strict Enforcement,Influencer Collaboration
Cross-Border,Medium-Term,Symbolic Only,Podcast
State,Trial,Minimal,Podcast
International,Trial,Light Enforcement,Protest
City,Trial,Community-Enforced,Public Comment
National,Short-Term,Strict Enforcement,Influencer Collaboration
National,Medium-Term,Moderate Enforcement,Direct Email to Representative
County,Short-Term,Punitive,Public Art
Cross-Border,Temporary,Symbolic Only,Meme Campaign
City,Temporary,Moderate Enforcement,Public Comment
Province,Short-Term,Not Enforced,Town Hall
Cross-Border,Temporary,Not Enforced,Newsletter
Region,Medium-Term,Light Enforcement,Influencer Collaboration
Region,Short-Term,Light Enforcement,Op-ed
County,Medium-Term,Symbolic Only,Op-ed
Continental,Permanent,Minimal,Op-ed
City,Temporary,Strict Enforcement,Town Hall
Cross-Border,Long-Term,Surveillance-Based,Newsletter
Province,Temporary,Minimal,Meme Campaign
County,Trial,Moderate Enforcement,Influencer Collaboration
State,Long-Term,Moderate Enforcement,Protest
State,Medium-Term,Symbolic Only,Op-ed
City,Trial,Light Enforcement,Petition
State,Permanent,Light Enforcement,Public Poll
International,Temporary,Punitive,Influencer Collaboration
Province,Medium-Term,Moderate Enforcement,Op-ed
City,Temporary,Strict Enforcement,Public Comment
Region,Medium-Term,Light Enforcement,Viral Video
City,Temporary,Community-Enforced,Petition
International,Long-Term,Surveillance-Based,Direct Email to Representative
National,Long-Term,Moderate Enforcement,Join Advocacy Group
County,Permanent,Light Enforcement,Public Poll
Continental,Short-Term,Strict Enforcement,Documentary
Region,Trial,Community-Enforced,Citizen Report
Neighborhood,Trial,Surveillance-Based,Public Comment
County,Temporary,Symbolic Only,Social Media Campaign
City,Trial,Light Enforcement,Public Comment
State,Long-Term,Moderate Enforcement,Op-ed
National,Medium-Term,Minimal,Op-ed
Cross-Border,Short-Term,Symbolic Only,Podcast
Global,Short-Term,Not Enforced,Petition
County,Trial,Minimal,Podcast
National,Temporary,Minimal,Meme Campaign
Neighborhood,Medium-Term,Strict Enforcement,Media Outreach
Province,Temporary,Moderate Enforcement,Citizen Report
National,Medium-Term,Community-Enforced,Influencer Collaboration
Neighborhood,Trial,Surveillance-Based,Petition
National,Short-Term,Punitive,Documentary
State,Trial,Punitive,Media Outreach
Global,Temporary,Surveillance-Based,Protest
State,Medium-Term,Light Enforcement,Academic Paper
Continental,Permanent,Moderate Enforcement,Social Media Campaign
Global,Trial,Strict Enforcement,Lawsuit
Cross-Border,Medium-Term,Minimal,Social Media Campaign
State,Trial,Not Enforced,Meme Campaign
Neighborhood,Medium-Term,Symbolic Only,Social Media Campaign
Province,Permanent,Symbolic Only,Op-ed
Region,Permanent,Punitive,Viral Video
City,Permanent,Community-Enforced,Meme Campaign
International,Medium-Term,Not Enforced,Public Comment
County,Long-Term,Not Enforced,Lawsuit
International,Long-Term,Light Enforcement,Academic Paper
National,Short-Term,Symbolic Only,Op-ed
Province,Long-Term,Symbolic Only,Meme Campaign
Continental,Short-Term,Strict Enforcement,Direct Email to Representative
National,Temporary,Moderate Enforcement,Public Comment
Cross-Border,Long-Term,Community-Enforced,Town Hall
Continental,Permanent,Light Enforcement,Viral Video
International,Temporary,Symbolic Only,Social Media Campaign
Province,Permanent,Community-Enforced,Public Art
Province,Trial,Community-Enforced,Public Poll
City,Permanent,Not Enforced,Citizen Report
County,Permanent,Punitive,Petition
Cross-Border,Temporary,Strict Enforcement,Public Comment
State,Long-Term,Community-Enforced,Academic Paper
State,Temporary,Community-Enforced,Viral Video
Cross-Border,Permanent,Minimal,Podcast
Cross-Border,Permanent,Symbolic Only,Social Media Campaign
National,Medium-Term,Not Enforced,Academic Paper
National,Temporary,Community-Enforced,Academic Paper
County,Short-Term,Symbolic Only,Podcast
State,Temporary,Strict Enforcement,Public Poll
State,Temporary,Strict Enforcement,Petition
Province,Long-Term,Moderate Enforcement,Direct Email to Representative
Province,Permanent,Strict Enforcement,Media Outreach
International,Permanent,Moderate Enforcement,Lawsuit
Continental,Permanent,Surveillance-Based,Influencer Collaboration
Neighborhood,Trial,Not Enforced,Town Hall
County,Permanent,Surveillance-Based,Citizen Report
State,Temporary,Surveillance-Based,Direct Email to Representative
State,Short-Term,Light Enforcement,Media Outreach
Neighborhood,Temporary,Not Enforced,Petition
International,Short-Term,Symbolic Only,Podcast
Neighborhood,Short-Term,Moderate Enforcement,GoFundMe Awareness
International,Temporary,Community-Enforced,Town Hall
City,Trial,Minimal,Town Hall
Cross-Border,Permanent,Strict Enforcement,Lawsuit
Neighborhood,Permanent,Moderate Enforcement,Influencer Collaboration
State,Medium-Term,Light Enforcement,GoFundMe Awareness
Continental,Short-Term,Strict Enforcement,Podcast
City,Trial,Strict Enforcement,Public Comment
City,Medium-Term,Strict Enforcement,Public Poll
Global,Medium-Term,Strict Enforcement,Media Outreach
Neighborhood,Temporary,Community-Enforced,Petition
Region,Temporary,Surveillance-Based,GoFundMe Awareness
International,Medium-Term,Surveillance-Based,Petition
International,Short-Term,Surveillance-Based,Viral Video
County,Short-Term,Community-Enforced,Town Hall
International,Long-Term,Minimal,Social Media Campaign
Province,Temporary,Moderate Enforcement,Petition
Continental,Permanent,Not Enforced,Influencer Collaboration
State,Long-Term,Moderate Enforcement,Protest
Global,Long-Term,Symbolic Only,Social Media Campaign
State,Medium-Term,Moderate Enforcement,Petition
City,Medium-Term,Moderate Enforcement,Lawsuit
City,Long-Term,Not Enforced,Viral Video
Global,Permanent,Community-Enforced,Direct Email to Representative
Global,Long-Term,Surveillance-Based,GoFundMe Awareness
International,Long-Term,Minimal,Meme Campaign
Continental,Trial,Minimal,Op-ed
Province,Medium-Term,Light Enforcement,Join Advocacy Group
Continental,Permanent,Surveillance-Based,Lawsuit
Cross-Border,Short-Term,Light Enforcement,Meme Campaign
Global,Trial,Light Enforcement,GoFundMe Awareness
